Code.INSEE,Code.postal,Libellé.géographique,Dep,occurrence,total.Club.sportif,Population,TauxBac,Salaire,TauxChomage,TauxOuvrier,StatutCommune
29261,29190,Saint-Rivoal,29,1,9,171,35.0364963504,15246,8.43373493976,38.5542168675,R
30004,30670,Aigues-Vives,30,1,11,2859,42.8639618138,18792,10.8275328693,18.0201082753,B
30007,30100,Alès,30,2,100,2897,38.7363834423,13609,27.8936017254,23.4363767074,C
30016,30120,Arre,30,1,2,288,25.8928571429,14947,12.1212121212,36.3636363636,R
30080,30530,Chamborigaud,30,1,3,783,26.5785609398,15979,18.5770750988,34.3873517787,R
30085,30210,Collias,30,2,1,1002,38.9105058366,17916,10.6,29,R
30123,30660,Gallargues-le-Montueux,30,1,10,3257,45.2573373033,18965,10.5691056911,24.3902439024,B
30125,30128,Garons,30,1,9,4442,37.571884984,17011,11.6658428077,23.6777063767,I
30189,30900,Nîmes,30,5,290,3466,34.2471531,14262,21.9336219336,26.5512265512,C
30189,30000,Nîmes,30,5,290,3466,34.2471531,14262,21.9336219336,26.5512265512,C
30229,30570,Saint-André-de-Majencoules,30,1,1,601,37.1848739496,14620,16.1943319838,17.4089068826,R
30315,30650,Saze,30,1,5,1789,43.8314176245,19482,8.88638920135,12.5984251969,R
30316,30450,Sénéchas,30,1,NA,228,36.5482233503,16548,5.06329113924,30.3797468354,R
30351,30400,Villeneuve-lès-Avignon,30,1,23,2316,62.2508792497,26326,12.2767857143,8.59375,B
30352,30250,Villevieille,30,1,1,1650,47.7253928867,18602,10.6824925816,14.5400593472,B
30356,30230,Rodilhan,30,1,8,2552,40.1838831801,19281,13.6736554239,19.872379216,B
31147,31210,Clarac,31,1,5,566,35.4401805869,19491,8.97435897436,16.6666666667,R
31161,31450,Deyme,31,2,2,873,61.1475409836,26050,5.40540540541,12.474012474,B
31169,31750,Escalquens,31,1,14,2562,54.2676501581,24955,7.52324598478,13.6094674556,B
31184,31130,Flourens,31,1,7,1807,59.4847775176,25585,6.57596371882,13.6054421769,R
31187,31470,Fonsorbes,31,1,31,4854,56.7168767292,21419,8.12826249068,19.202087994,C
31220,31560,Gibel,31,1,1,294,50.6912442396,18269,7.28476821192,9.93377483444,R
31231,31190,Grazac,31,1,1,502,39.2370572207,18284,11.8577075099,15.8102766798,R
31417,31820,Pibrac,31,1,25,2418,57.268981754,25949,7.06349206349,14.0476190476,B
31424,31830,Plaisance-du-Touch,31,1,42,2296,58.1547619048,26101,7.8125,11.62109375,B
31433,31120,Portet-sur-Garonne,31,2,34,2193,52.3777173913,19905,11.5490375802,17.1402383135,B
